Facility Name,City,County,State,ZIP,Latitude,Longitude,Industry Sector,Carcinogen,Stack Air,Water,Underground,On-Site Release Total
BEST PETROLEUM CORP BULK TERMINAL,GUAYNABO,GUAYNABO MUNICIPIO,PR,965,18.391571,-66.117699,Petroleum Bulk Terminals,YES,250.0,0.0,0.0,1068.09
HENKEL US OPERATIONS CORP,GREENVILLE,GREENVILLE,SC,29609,34.886926,-82.400064,Chemicals,NO,0.0,0.0,0.0,1621.7
TESORO - ANCHORAGE TERMINAL,ANCHORAGE,ANCHORAGE MUNICIPALITY,AK,99501,61.229579,-149.893094,Petroleum Bulk Terminals,NO,770.0,0.0,0.0,1480.0
PECAN PIPELINE (WYOMING) JEWELL GAS PLANT,DOUGLAS,CONVERSE,WY,82633,42.79314,-105.38069,Natural Gas Processing,NO,250.0,0.0,0.0,500.0
SUNOCO LLC-RACE FUELS,MARCUS HOOK,DELAWARE,PA,19061,39.814609,-75.42227,Petroleum,YES,0.0,0.0,0.0,0.0
CHEMSTATION OF ALABAMA,BESSEMER,JEFFERSON,AL,35022,33.37035,-86.94442,Chemicals,NO,0.0,0.0,0.0,0.0
VALERO REFINING-TEXAS LP,TEXAS CITY,GALVESTON,TX,77590,29.369167,-94.911111,Petroleum,NO,1800.0,0.0,0.0,1800.0
CALUMET GAS PROCESSING PLANT,CALUMET,CANADIAN,OK,73014,35.66529,-98.15437,Natural Gas Processing,NO,1042.0,0.0,0.0,1201.0
CONTINENTAL CARBON CO PONCA CITY OK PLANT,PONCA CITY,KAY,OK,74601,36.66616,-97.07163,Chemicals,NO,567.0,0.0,0.0,567.0
THARALDSON ETHANOL PLANT I LLC,CASSELTON,CASS,ND,58012,46.90411,-97.26349,Chemicals,YES,15776.21,0.0,0.0,15812.72
BUCKMAN LABORATORIES INC,MEMPHIS,SHELBY,TN,38108,35.171,-89.99559,Chemicals,NO,0.0,0.0,0.0,0.0
DOW CHEMICAL CO FREEPORT FACILITY,FREEPORT,BRAZORIA,TX,775413257,28.980147,-95.342272,Chemicals,NO,0.0,0.0,0.0,8.0
COLOR MATRIX CORP,BEREA,CUYAHOGA,OH,44017,41.38406,-81.85624,Chemicals,NO,0.0,0.0,0.0,0.0
KEMIRA CHEMICALS INC,MARIETTA,COBB,GA,30060,33.977973,-84.558388,Chemicals,YES,0.0,0.0,0.0,0.0
NITTO DENKO AVECIA INC.,CINCINNATI,HAMILTON,OH,45215,39.21585,-84.4452,Chemicals,NO,43.0,0.0,0.0,43.0
SYNGENTA CROP PROTECTION LLC-OMAHA PLANT,OMAHA,DOUGLAS,NE,68107,41.21761,-95.9277,Chemicals,NO,3.0,0.84,0.0,3.84
WHARF RESOURCES,LEAD,LAWRENCE,SD,57754,44.34444,-103.86166,Metal Mining,NO,0.0,28.0,0.0,7432.0
SHPP US LLC,SELKIRK,ALBANY,NY,12158,42.575416,-73.853563,Chemicals,NO,35.0,3.0,0.0,3438.0
GREEN PLAINS SHENANDOAH LLC,SHENANDOAH,FREMONT,IA,51601,40.7549,-95.3953,Chemicals,YES,0.0,0.0,0.0,0.0
PPG INDUSTRIES OHIO INC CIRCLEVILLE OH,CIRCLEVILLE,PICKAWAY,OH,43113,39.55713,-82.94526,Chemicals,YES,1.0,0.0,0.0,2.0
HEMPEL (USA) INC,CONROE,MONTGOMERY,TX,77303,30.35058,-95.44179,Chemicals,NO,834.757,0.0,0.0,2584.573
ASCEND PERFORMANCE MATERIALS-CHOCOLATE BAYOU PLANT,ALVIN,BRAZORIA,TX,775110000,29.231225,-95.196088,Chemicals,NO,81.0,0.0,0.0,100.7
NORTHVILLE INDUSTRIES CORP. - SETAUKET TERMINAL,EAST SETAUKET,SUFFOLK,NY,11733,40.917077,-73.093918,Petroleum Bulk Terminals,YES,45.0,0.0,0.0,46.0
