fips,county,incidence_rate
19011.0,"Benton County, Iowa(7)",513.6 
19097.0,"Jackson County, Iowa(7)",513.6 
48151.0,"Fisher County, Texas(7)",513.5 
40089.0,"McCurtain County, Oklahoma(6)",513.5 
54001.0,"Barbour County, West Virginia(6)",513.1 
13009.0,"Baldwin County, Georgia(7)",513.1 
17011.0,"Bureau County, Illinois(7)",513.1 
13057.0,"Cherokee County, Georgia(7)",513 
17053.0,"Ford County, Illinois(7)",513 
54019.0,"Fayette County, West Virginia(6)",512.9 
12019.0,"Clay County, Florida(6)",512.8 
27007.0,"Beltrami County, Minnesota(6)",512.8 
28081.0,"Lee County, Mississippi(6)",512.7 
21111.0,"Jefferson County, Kentucky(7)",512.7 
37163.0,"Sampson County, North Carolina(6)",512.7 
19019.0,"Buchanan County, Iowa(7)",512.6 
51025.0,"Brunswick County, Virginia(6)",512.6 
19059.0,"Dickinson County, Iowa(7)",512.5 
13079.0,"Crawford County, Georgia(7)",512.5 
47115.0,"Marion County, Tennessee(6)",512.5 
30051.0,"Liberty County, Montana(6)",512.4 
21037.0,"Campbell County, Kentucky(7)",512.4 
40105.0,"Nowata County, Oklahoma(6)",512.3 
13297.0,"Walton County, Georgia(7)",512 
19145.0,"Page County, Iowa(7)",511.8 
2240.0,"Southeast Fairbanks Census Area, Alaska(6)",511.8 
19159.0,"Ringgold County, Iowa(7)",511.7 
48431.0,"Sterling County, Texas(7)",511.7 
19015.0,"Boone County, Iowa(7)",511.7 
27011.0,"Big Stone County, Minnesota(6)",511.6 
31125.0,"Nance County, Nebraska(6)",511.5 
28129.0,"Smith County, Mississippi(6)",511.4 
19151.0,"Pocahontas County, Iowa(7)",511.4 
37045.0,"Cleveland County, North Carolina(6)",511.2 
30077.0,"Powell County, Montana(6)",511.2 
32009.0,"Esmeralda County, Nevada(6)",511.1 
21109.0,"Jackson County, Kentucky(7)",511.1 
36015.0,"Chemung County, New York(7)",510.9 
21041.0,"Carroll County, Kentucky(7)",510.7 
22083.0,"Richland Parish, Louisiana(7)",510.7 
12129.0,"Wakulla County, Florida(6)",510.7 
29207.0,"Stoddard County, Missouri(6)",510.7 
42023.0,"Cameron County, Pennsylvania(6)",510.6 
22039.0,"Evangeline Parish, Louisiana(7)",510.6 
37145.0,"Person County, North Carolina(6)",510.5 
48213.0,"Henderson County, Texas(7)",510.4 
42037.0,"Columbia County, Pennsylvania(6)",510.2 
47159.0,"Smith County, Tennessee(6)",510 
12109.0,"St. Johns County, Florida(6)",510 
21129.0,"Lee County, Kentucky(7)",509.9 
27015.0,"Brown County, Minnesota(6)",509.9 
19057.0,"Des Moines County, Iowa(7)",509.7 
36055.0,"Monroe County, New York(7)",509.6 
39119.0,"Muskingum County, Ohio(6)",509.4 
28163.0,"Yazoo County, Mississippi(6)",509.4 
19149.0,"Plymouth County, Iowa(7)",509.3 
47005.0,"Benton County, Tennessee(6)",509.3 
55077.0,"Marquette County, Wisconsin(6)",509.3 
47143.0,"Rhea County, Tennessee(6)",509.3 
37087.0,"Haywood County, North Carolina(6)",509.2 
26051.0,"Gladwin County, Michigan(6)",509.1 
22049.0,"Jackson Parish, Louisiana(7)",509.1 
24045.0,"Wicomico County, Maryland(6)",509 
27095.0,"Mille Lacs County, Minnesota(6)",508.9 
22125.0,"West Feliciana Parish, Louisiana(7)",508.9 
13217.0,"Newton County, Georgia(7)",508.9 
13029.0,"Bryan County, Georgia(7)",508.9 
22111.0,"Union Parish, Louisiana(7)",508.9 
19111.0,"Lee County, Iowa(7)",508.8 
36037.0,"Genesee County, New York(7)",508.8 
34005.0,"Burlington County, New Jersey(7)",508.7 
21151.0,"Madison County, Kentucky(7)",508.6 
36085.0,"Richmond County, New York(7)",508.6 
22031.0,"De Soto Parish, Louisiana(7)",508.6 
47075.0,"Haywood County, Tennessee(6)",508.6 
17175.0,"Stark County, Illinois(7)",508.6 
19125.0,"Marion County, Iowa(7)",508.4 
36001.0,"Albany County, New York(7)",508.4 
21079.0,"Garrard County, Kentucky(7)",508.4 
30103.0,"Treasure County, Montana(6)",508.3 
36039.0,"Greene County, New York(7)",508.3 
29069.0,"Dunklin County, Missouri(6)",508.1 
27143.0,"Sibley County, Minnesota(6)",508 
46053.0,"Gregory County, South Dakota(6)",507.9 
27035.0,"Crow Wing County, Minnesota(6)",507.8 
